,wine_id,name
0,1,Grilled seafood platter
1,2,Crème brûlée
2,3,Spicy Thai curry
3,4,Blue cheese tart
4,5,Goat cheese tart
5,6,Blue cheese platter
6,7,Blue cheese platter
7,8,Blue cheese
8,9,Blue cheese tart
9,10,Grilled lamb chops
10,11,Grilled lamb chops
11,12,Grilled lamb chops
12,13,Grilled lamb chops
13,14,Grilled lamb chops
14,15,Grilled steak
15,16,Grilled lamb chops
16,17,Grilled lamb chops
17,18,Grilled lamb chops
18,19,Grilled ribeye steak
19,20,Roasted duck breast
20,21,Grilled lamb chops
21,22,Grilled steak
22,23,Grilled lamb chops
23,24,Grilled seafood salad
24,25,Grilled lamb chops
25,26,Grilled lamb skewers
26,27,Duck confit
27,28,Grilled seafood platter
28,29,Grilled lamb chops
29,30,Grilled salmon salad
30,31,Braised short ribs
31,32,Beef tenderloin
32,33,Grilled lamb chops
33,34,Grilled ribeye steak
34,35,Beef Wellington
35,36,Grilled lamb chops
36,37,Grilled lamb chops
37,38,Grilled lamb chops
38,39,Grilled salmon salad
39,40,Grilled lemon herb chicken
40,41,Spicy Asian cuisine
41,42,Grilled seafood platter
42,43,Braised lamb shanks
43,44,Braised short ribs
44,45,Spicy Thai curry
45,46,Roasted duck breast
46,47,Braised lamb shanks
47,48,Grilled lamb chops
48,49,Grilled seafood salad
49,50,Herb roasted chicken
50,51,Herb crusted lamb chops
51,52,Grilled salmon salad
52,53,Grilled ribeye steak
53,54,Grilled lamb chops
54,55,Grilled ribeye steak
55,56,Roasted lamb shanks
56,57,Grilled ribeye steak
57,58,Grilled ribeye steak
58,59,Grilled shrimp tacos
59,60,Grilled ribeye steak
60,61,Grilled salmon
61,62,Roasted Duck Breast
62,63,Grilled lamb chops
63,64,Bistecca alla Fiorentina
64,65,Bistecca alla Fiorentina
65,66,Charcuterie board
66,67,Barbecue ribs
67,68,Oysters on the half shell
68,69,Oysters on the half shell
69,70,Chocolate covered strawberries
70,71,Fresh oysters
71,72,Grilled steak
72,73,Lemon butter scallops
73,74,Grilled ribeye steak
74,75,Grilled lamb chops
75,76,Braised lamb shanks
76,77,Grilled lemon herb chicken
77,78,Grilled lamb skewers
78,79,Lamb tagine
79,80,Grilled lemon herb chicken
80,81,Lemon butter scallops
81,82,Grilled lamb chops
82,83,Grilled prawns with lemon
83,84,Grilled lamb skewers
84,85,Grilled seafood platter
85,86,Grilled Herb Chicken
86,87,Salmon sushi
87,88,Oysters on the half shell
88,89,Grilled sea bass
89,90,Duck breast with cherry sauce
90,91,Wild mushroom risotto
91,92,Duck confit
92,93,Roasted duck breast
93,94,Grilled salmon
94,95,Duck confit
95,96,Grilled salmon with herbs
96,97,Grilled lamb chops
97,98,Grilled lamb chops
98,99,Grilled lemon herb chicken
99,100,Grilled lamb chops
100,101,Grilled lamb chops
101,102,Grilled lamb chops
102,103,Herb roasted chicken
103,104,Grilled salmon
104,105,Blue cheese and honey
105,106,Duck confit
106,107,Spicy Thai Curry
107,108,Roast duck with cherries
108,109,Grilled red meat
109,110,Grilled lamb chops
110,111,Grilled lamb chops
111,112,Herb roasted chicken
112,113,Duck confit
113,114,Duck confit
114,115,Herb roasted chicken
115,116,Duck confit
116,117,Grilled salmon
117,118,Grilled lamb chops
118,119,Grilled ribeye steak
119,120,Grilled asparagus salad
120,121,Grilled lamb chops
121,122,Smoked brisket
122,123,Lamb shoulder roast
123,124,Lobster with lemon butter
124,125,Seared scallops with lemon beurre blanc
125,126,Duck confit salad
126,127,Truffle risotto
127,128,Spicy Thai Curry
128,129,Grilled lamb chops
129,130,Roasted duck breast
130,131,Grilled lamb chops
131,132,Grilled seafood platter
132,133,Roasted duck breast
133,134,Grilled lamb chops
134,135,Grilled seafood salad
135,136,Grilled shrimp with lemon
136,137,Spicy Asian Cuisine
137,138,Spicy Thai Curry
138,139,Lemon herb chicken
139,140,Grilled lamb chops
140,141,Grilled lamb chops
141,142,Grilled salmon salad
142,143,Grilled lemon herb chicken
143,144,Grilled lemon herb chicken
144,145,Grilled lamb chops
145,146,Grilled lamb chops
146,147,Grilled lamb chops
147,148,Grilled salmon with citrus
148,149,Grilled salmon
149,150,Oysters on the half shell
150,151,Grilled shrimp tacos
151,152,Grilled salmon
152,153,Grilled white fish
153,154,Blue cheese platter
154,155,Grilled lamb chops
155,156,Spicy Thai Curry
156,157,Grilled lemon herb chicken
157,158,Seared scallops
158,159,Grilled lamb chops
159,160,Grilled lamb chops
160,161,Grilled salmon salad
161,162,Dark chocolate truffles
162,163,Blue cheese profile
163,164,Dark chocolate truffles
164,165,Dark chocolate truffles
165,166,Spiced pear tart
166,167,Blue cheese tart
167,168,Blue cheese and figs
168,169,Blue cheese dessert
169,170,Blue cheese pairing
170,171,Oysters on the half shell
171,172,Cheddar cheese platter
172,173,Duck confit
173,174,Lobster with lemon butter
174,175,Grilled lamb chops
175,176,Grilled lamb chops
176,177,Filet mignon
177,178,Mushroom risotto
178,179,Roasted duck
179,180,Grilled lamb chops
180,181,Grilled ribeye steak
181,182,Grilled lamb chops
182,183,Roasted duck breast
183,184,Grilled scallops
184,185,Roasted lamb
185,186,Grilled bratwurst sandwich
186,187,Charcuterie board
187,188,Grilled salmon with herbs
188,189,Grilled salmon asparagus salad
189,190,Grilled ribeye steak
190,191,Grilled lamb chops
191,192,Lobster bisque
192,193,Duck confit
193,194,Duck confit
194,195,Roasted duck breast
195,196,Grilled lamb chops
196,197,Grilled ribeye steak
197,198,Grilled steak
198,199,Grilled salmon
199,200,Duck confit
200,201,Duck confit salad
201,202,Roasted apricot tart
202,203,Grilled lamb chops
203,204,Lobster risotto
204,205,Duck confit
205,206,Mushroom risotto
206,207,Oysters on the half shell
207,208,Lobster risotto
208,209,Duck confit
209,210,Grilled lamb chops
210,211,Grilled ribeye steak
211,212,Grilled lemon herb chicken
212,213,Grilled lamb chops
213,214,Grilled salmon
214,215,Grilled lamb chops
215,216,Duck confit
216,217,Grilled lamb chops
217,218,Roasted chicken lemon herb
218,219,Duck confit
219,220,Herb crusted lamb
220,221,Grilled lamb chops
221,222,Grilled lamb chops
222,223,Grilled ribeye steak
223,224,Lobster risotto
224,225,Lobster in butter sauce
225,226,Grilled sea bass
226,227,Grilled lamb kabobs
227,228,Roasted Mushrooms
228,229,Grilled salmon salad
229,230,Roasted chicken with herbs
230,231,Spicy Thai Curry
231,232,Spiced Thai curry
232,233,Grilled Scallops
233,234,Grilled steak
234,235,Grilled lamb chops
235,236,Grilled lamb chops
236,237,Mushroom risotto
237,238,Grilled lamb chops
238,239,Mushroom risotto
239,240,Grilled lamb chops
240,241,Oysters on the half shell
241,242,Asparagus risotto
242,243,Asparagus risotto
243,244,Duck confit
